Hour,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
Hour1,5.33143333333333,5.33986666666667,5.3244,5.33626666666667,5.32283333333333,5.31813333333333
Hour2,5.32403333333333,5.32143333333333,5.3142,5.32373333333333,5.34196666666667,5.33923333333333
Hour3,5.32626666666667,5.34043333333333,5.31356666666667,5.35653333333333,5.3387,5.35696666666667
Hour4,5.35526666666667,5.36,5.31713333333333,5.33193333333333,5.3446,5.3474
Hour5,5.33786666666667,5.32636666666667,5.31496666666667,5.31343333333333,5.33746666666667,5.3407
Hour6,5.34316666666667,5.33523333333333,5.32383333333333,5.34626666666667,5.33396666666667,5.32053333333333
Hour7,5.3048,5.34403333333333,5.34536666666667,5.34176666666667,5.33696666666667,5.33116666666667
Hour8,5.32493333333333,5.33206666666667,5.34563333333333,5.31623333333333,5.3332,5.3247
Hour9,5.33543333333333,5.3583,5.33236666666667,5.326,5.33113333333333,5.3185
Hour10,5.36133333333333,5.32063333333333,5.33543333333333,5.34546666666667,5.33023333333333,5.3254
Hour11,5.31453333333333,5.3546,5.32056666666667,5.33793333333333,5.3224,5.3197
Hour12,5.3358,5.32723333333333,5.3251,5.35136666666667,5.32816666666667,5.30356666666667
Hour13,5.33563333333333,5.34273333333333,5.34616666666667,5.3249,5.3441,5.32866666666667
Hour14,5.32786666666667,5.35433333333333,5.32746666666667,5.3303,5.3228,5.3525
Hour15,5.3439,5.3495,5.32196666666667,5.35583333333333,5.3349,5.34256666666667
Hour16,5.3252,5.3058,5.30253333333333,5.3303,5.33933333333333,5.33263333333333
Hour17,5.32726666666667,5.29873333333333,5.32046666666667,5.3204,5.32313333333333,5.28163333333333
Hour18,5.33893333333333,5.33476666666667,5.3343,5.3183,5.33996666666667,5.32303333333333
Hour19,5.32856666666667,5.3501,5.34603333333333,5.32703333333333,5.3201,5.3041
Hour20,5.32926666666667,5.32803333333333,5.31653333333333,5.32513333333333,5.34166666666667,5.35253333333333
Hour21,5.35523333333333,5.32793333333333,5.3212,5.32596666666667,5.34743333333333,5.35156666666667
Hour22,5.3188,5.33946666666667,5.32966666666667,5.3333,5.3382,5.33816666666667
Hour23,5.3537,5.31476666666667,5.32996666666667,5.32776666666667,5.33156666666667,5.33443333333333
Hour24,5.3018,5.30496666666667,5.329,5.35266666666667,5.3052,5.32606666666667
Hour25,5.3256,5.3318,5.30653333333333,5.31136666666667,5.3054,5.35736666666667
